City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Tutóia,75,BR,1586029908,83,-2.76,-42.27,84.2,13.87
1,Abidjan,75,CI,1586029689,79,5.31,-4.02,84.2,11.41
2,Rikitea,45,PF,1586029671,80,-23.12,-134.97,76.28,15.43
3,NEDJO,99,ET,1586029908,22,9.5,35.5,67.48,2.48
4,Kiama,2,AU,1586029909,58,-34.68,150.87,57.2,13.87
5,Ushuaia,75,AR,1586029909,86,-54.8,-68.3,46.4,13.87
6,Kuching,40,MY,1586029639,94,1.55,110.33,77.0,2.24
7,Lebu,0,CL,1586029909,60,-37.62,-73.65,58.39,20.22
8,Saint-Philippe,4,RE,1586029909,78,-21.36,55.77,78.8,12.75
9,Mataura,36,NZ,1586029910,84,-46.19,168.86,52.0,4.0
10,San Jose,75,US,1586029709,58,37.34,-121.89,57.99,12.75
11,Carnarvon,93,AU,1586029910,78,-24.87,113.63,75.2,13.87
12,Kamina,0,CD,1586029910,62,-8.74,24.99,64.26,0.72
13,New Norfolk,52,AU,1586029823,70,-42.78,147.06,42.8,3.36
14,Tazovsky,100,RU,1586029910,96,67.47,78.7,34.03,20.47
15,Tasiilaq,10,GL,1586029910,40,65.61,-37.64,17.6,20.8
16,Avarua,90,CK,1586029826,94,-21.21,-159.78,78.8,14.99
17,Punta Arenas,75,CL,1586029911,81,-53.15,-70.92,44.6,28.86
18,Cape Town,23,ZA,1586029859,87,-33.93,18.42,62.01,4.7
19,Suez,22,EG,1586029621,37,29.97,32.53,74.82,16.31
20,Hobyo,92,SO,1586029911,73,5.35,48.53,82.98,15.75
21,Tautira,21,PF,1586029911,66,-17.73,-149.15,87.8,11.41
22,Kaitangata,44,NZ,1586029911,84,-46.28,169.85,55.0,1.99
23,Albany,40,US,1586029761,42,42.6,-73.97,64.0,5.82
24,Rokupr,53,SL,1586029912,64,8.67,-12.39,84.78,6.26
25,Río Gallegos,40,AR,1586029775,40,-51.62,-69.22,53.6,42.5
26,Hermanus,23,ZA,1586029912,94,-34.42,19.23,64.0,1.01
27,Longjiang,0,CN,1586029912,67,47.33,123.18,27.91,2.66
28,Kiryat Gat,100,IL,1586029912,40,31.61,34.76,75.0,1.12
29,Hilo,75,US,1586029912,65,19.73,-155.09,78.8,3.36
30,Klaksvík,100,FO,1586029912,100,62.23,-6.59,39.2,18.34
31,Ponta do Sol,40,PT,1586029913,72,32.67,-17.1,68.0,24.16
32,Hobart,42,AU,1586029639,65,-42.88,147.33,44.6,4.7
33,Bethel,20,US,1586029913,50,41.37,-73.41,62.01,4.7
34,Atuona,100,PF,1586029748,74,-9.8,-139.03,82.24,16.08
35,Churapcha,100,RU,1586029913,95,62.0,132.43,18.48,11.1
36,Contamana,96,PE,1586029913,85,-7.33,-75.02,82.99,1.77
37,Yellowknife,20,CA,1586029913,47,62.46,-114.35,12.2,9.17
38,Pisco,2,PE,1586029914,30,-13.7,-76.22,75.0,9.17
39,Kimamba,15,TZ,1586029914,75,-6.78,37.13,70.52,0.76
40,Qaanaaq,100,GL,1586029914,78,77.48,-69.36,11.08,6.82
41,Tyukalinsk,96,RU,1586029914,86,55.87,72.2,33.08,16.28
42,Riyadh,0,SA,1586029765,16,24.69,46.72,77.0,11.41
43,Port Alfred,0,ZA,1586029672,78,-33.59,26.89,72.0,4.0
44,Bodden Town,20,KY,1586029914,62,19.28,-81.25,86.0,9.17
45,Hue,9,VN,1586029914,91,16.47,107.6,73.22,2.08
46,Jamestown,90,US,1586029743,54,42.1,-79.24,59.0,5.82
47,Provideniya,100,RU,1586029915,94,64.38,-173.3,13.89,19.44
48,Stromness,100,GB,1586029915,87,58.97,-3.3,46.4,10.29
49,High Rock,20,BS,1586029915,61,26.62,-78.28,78.8,11.41
50,Vaini,75,TO,1586029915,78,-21.2,-175.2,77.0,6.93
51,Asău,82,RO,1586029915,60,46.43,26.4,44.01,8.05
52,Yarmouth,90,US,1586029915,70,41.71,-70.23,46.99,17.22
53,Butaritari,95,KI,1586029670,80,3.07,172.79,82.85,12.3
54,Wanning,47,CN,1586029916,87,18.8,110.4,75.47,10.18
55,Flin Flon,5,CA,1586029916,41,54.77,-101.86,19.4,6.93
56,Dori,0,BF,1586029916,10,14.04,-0.03,89.01,4.27
57,Korsør,4,DK,1586029916,93,55.33,11.14,42.8,1.12
58,Acarí,25,PE,1586029916,55,-15.43,-74.62,77.59,7.09
59,Buala,69,SB,1586029882,76,-8.14,159.59,82.76,17.43
60,Barrow,20,US,1586029649,85,71.29,-156.79,12.2,10.29
61,Arraial do Cabo,4,BR,1586029917,69,-22.97,-42.03,78.8,17.22
62,Saldanha,10,ZA,1586029736,82,-33.01,17.94,62.6,2.24
63,Upernavik,7,GL,1586029918,80,72.79,-56.15,14.05,9.48
64,East London,0,ZA,1586029918,50,-33.02,27.91,76.17,8.5
65,Caucayá,90,CO,1586029919,64,-0.19,-74.78,87.08,2.1
66,Tharād,4,IN,1586029919,19,24.4,71.63,82.45,5.19
67,Reconquista,32,AR,1586029919,44,-29.15,-59.65,76.26,3.42
68,Khatanga,87,RU,1586029919,96,71.97,102.5,14.43,12.28
69,Solnechnyy,15,RU,1586029919,93,50.72,136.63,20.66,5.41
70,Bredasdorp,38,ZA,1586029760,77,-34.53,20.04,66.2,10.29
71,Tual,87,ID,1586029919,76,-5.67,132.75,83.17,11.01
72,Nanortalik,100,GL,1586029747,90,60.14,-45.24,29.39,8.48
73,Bluff,83,NZ,1586029920,84,-46.6,168.33,52.0,4.0
74,Moree,0,AU,1586029920,87,-29.47,149.85,53.6,8.05
75,Kapaa,75,US,1586029743,78,22.08,-159.32,78.8,9.17
76,Vila Velha,75,BR,1586029920,73,-20.33,-40.29,78.01,8.05
77,Souillac,40,MU,1586029920,83,-20.52,57.52,78.8,10.29
78,Ilulissat,5,GL,1586029920,56,69.22,-51.1,12.2,13.87
79,Grand Gaube,40,MU,1586029920,83,-20.01,57.66,78.8,10.29
80,Tabou,2,CI,1586029748,79,4.42,-7.35,82.17,5.77
81,Tsogni,100,GA,1586029921,85,-2.79,10.1,76.86,5.88
82,Bengkulu,100,ID,1586029921,85,-3.8,102.27,77.0,5.68
83,Taicheng,97,CN,1586029921,39,38.73,113.23,41.63,1.81
84,Longyearbyen,20,SJ,1586029867,71,78.22,15.64,3.2,10.29
85,Maple Creek,94,CA,1586029921,66,49.92,-109.48,30.25,11.99
86,Busselton,100,AU,1586029921,35,-33.65,115.33,63.0,13.29
87,Marsá Maţrūḩ,89,EG,1586029921,33,31.35,27.25,75.2,13.87
88,Kumul,18,CN,1586029754,27,42.8,93.45,49.44,0.78
89,Sharan,0,RU,1586029922,79,54.82,54.0,35.37,7.4
90,Lethem,79,GY,1586029922,39,3.38,-59.8,93.51,9.89
91,Lüderitz,84,NA,1586029922,87,-26.65,15.16,60.8,8.05
92,Norman Wells,90,CA,1586029922,72,65.28,-126.83,12.2,12.75
93,Basco,64,PH,1586029922,83,20.45,121.97,75.79,27.74
94,Tandil,0,AR,1586029922,51,-37.32,-59.13,73.99,5.99
95,Kaeo,5,NZ,1586029923,91,-35.1,173.78,62.01,1.01
96,Vanavara,2,RU,1586029923,93,60.34,102.28,19.29,5.06
97,Clyde River,20,CA,1586029923,72,70.47,-68.59,10.4,26.4
98,Chippewa Falls,1,US,1586029502,55,44.94,-91.39,39.0,5.82
99,Boundiali,64,CI,1586029923,33,9.52,-6.49,88.88,3.56
100,Cabo San Lucas,75,MX,1586029923,39,22.89,-109.91,87.01,9.17
101,Atherton,83,GB,1586029923,62,53.52,-2.49,55.4,2.24
102,Ribeira Grande,20,PT,1586029924,67,38.52,-28.7,62.6,19.46
103,Augusto Corrêa,77,BR,1586029924,87,-1.02,-46.63,79.63,4.74
104,Aklavik,5,CA,1586029924,55,68.22,-135.01,17.6,5.82
105,Ugoofaaru,86,MV,1586029769,65,5.67,73.0,83.8,4.76
106,Puerto Ayora,20,EC,1586029924,70,-0.74,-90.35,84.2,9.17
107,Eirunepé,98,BR,1586029924,69,-6.66,-69.87,85.91,3.51
108,Chara,84,RU,1586029924,82,56.91,118.26,19.08,7.85
109,Antalaha,4,MG,1586029925,76,-14.9,50.28,76.55,11.95
110,Biak,67,ID,1586029925,70,-0.91,122.88,79.92,2.15
111,Diofior,0,SN,1586029925,17,14.18,-16.67,104.0,9.17
112,Yarega,95,RU,1586029925,97,63.44,53.58,29.48,5.06
113,Muli,38,MV,1586029925,71,2.92,73.57,83.91,8.59
114,Bathsheba,20,BB,1586029751,66,13.22,-59.52,84.2,11.41
115,Meadville,90,US,1586029925,50,41.64,-80.15,62.01,3.36
116,Mgandu,7,TZ,1586029926,65,-5.95,34.13,61.81,4.21
117,Northam,0,GB,1586029926,73,51.03,-4.22,52.0,8.01
118,Alofi,100,NU,1586029926,94,-19.06,-169.92,77.0,3.36
119,Broken Hill,0,AU,1586029850,76,-31.95,141.43,51.8,6.93
120,Port Elizabeth,8,ZA,1586029926,64,-33.92,25.57,73.4,14.99
121,Ola,99,RU,1586029926,95,59.58,151.28,17.13,1.97
122,Bumba,8,CD,1586029926,72,2.18,22.47,75.81,1.59
123,Neryungri,100,RU,1586029927,90,56.67,124.65,20.77,5.1
124,Lavrentiya,100,RU,1586029927,95,65.58,-171.0,14.45,10.71
125,Quelimane,14,MZ,1586029927,88,-17.88,36.89,75.2,3.36
126,Cidreira,6,BR,1586029747,67,-30.18,-50.21,69.22,10.27
127,Esperance,26,AU,1586029927,93,-33.87,121.9,48.2,5.82
128,Kenai,40,US,1586029927,80,60.55,-151.26,39.2,4.7
129,Gondanglegi,100,ID,1586029927,92,-7.75,112.01,75.47,1.9
130,Barra Patuca,0,HN,1586029927,65,15.8,-84.28,82.96,14.41
131,Taoudenni,0,ML,1586029729,11,22.68,-3.98,85.66,9.19
132,Khomutovka,0,RU,1586029928,73,51.92,34.56,36.66,6.64
